LGACODE,LABEL,YEAR,GIFTS/DONATIONS REPORTED BY TAXPAYERS_Persons,GIFTS/DONATIONS REPORTED BY TAXPAYERS_Median_Amount,METHOD OF TRAVEL TO WORK_Used one method - Train or tram,METHOD OF TRAVEL TO WORK_Used one method - Bus,METHOD OF TRAVEL TO WORK_Used one method - Car (as driver or passenger),METHOD OF TRAVEL TO WORK_Used one method - Motor bike/scooter,METHOD OF TRAVEL TO WORK_Used one method - Bicycle,METHOD OF TRAVEL TO WORK_Used one method - Other (inc. Taxis),METHOD OF TRAVEL TO WORK_Used one method - Walked only,METHOD OF TRAVEL TO WORK_Total used one method,METHOD OF TRAVEL TO WORK_Total used more than one method,METHOD OF TRAVEL TO WORK_Other - Worked from home,METHOD OF TRAVEL TO WORK_Other - Employed but did not go to work,METHOD OF TRAVEL TO WORK_Other - Method of travel not stated,METHOD OF TRAVEL TO WORK_Total employed,HOUSEHOLDS BY TYPE_Lone person households,HOUSEHOLDS BY TYPE_Group households,HOUSEHOLDS BY TYPE_Family households,HOUSEHOLDS BY TYPE_Total households,HOUSEHOLDS BY TYPE_Average Household Size,FAMILIES BY TYPE_Couple families with children under 15 and/or dependent students,FAMILIES BY TYPE_Couple families with non-dependent children only,FAMILIES BY TYPE_Couple families without children,"FAMILIES BY TYPE_One parent families, children under 15 &/or dependent students","FAMILIES BY TYPE_One parent families, non-dependent children only",FAMILIES BY TYPE_Other families,FAMILIES BY TYPE_Total families,FAMILIES BY TYPE_Average Family Size,SOCIAL MARITAL STATUS & REGISTERED MARITAL STATUS_Married in a registered marriage,SOCIAL MARITAL STATUS & REGISTERED MARITAL STATUS_Married in a de facto marriage,SOCIAL MARITAL STATUS & REGISTERED MARITAL STATUS_Not married,SOCIAL MARITAL STATUS & REGISTERED MARITAL STATUS_Married,SOCIAL MARITAL STATUS & REGISTERED MARITAL STATUS_Never Married,SOCIAL MARITAL STATUS & REGISTERED MARITAL STATUS_Widowed,SOCIAL MARITAL STATUS & REGISTERED MARITAL STATUS_Divorced,SOCIAL MARITAL STATUS & REGISTERED MARITAL STATUS_Separated,ACCESS TO INTERNET AT HOME_Internet accessed from dwelling,ACCESS TO INTERNET AT HOME_Internet not accessed from dwelling,ACCESS TO INTERNET AT HOME_Average monthly household rental payment,ACCESS TO INTERNET AT HOME_Average monthly household mortgage payment,UNPAID CHILD CARE _Persons who did not provide child care (%),UNPAID CHILD CARE _Persons who cared for own child/children ,UNPAID CHILD CARE _Persons who cared for other child/children ,UNPAID CHILD CARE _Persons who cared for own child/children and other child/children ,UNPAID WORK_Persons who provided unpaid assistance to a person with a disability ,UNPAID WORK_Persons undertaking voluntary work for an organisation or group,COUNT OF ALL CHILDREN IN FAMILY_Average number of all children in a family,HOUSING SUITABILITY_Dwellings with extra bedrooms needed,HOUSING SUITABILITY_Dwellings with bedrooms spare,HOUSING SUITABILITY_Dwellings with no bedrooms needed or spare,DWELLING STRUCTURE_Separate house ,"DWELLING STRUCTURE_Semi-detached, row or terrace house, townhouse etc. ",DWELLING STRUCTURE_Flat or apartment ,DWELLING STRUCTURE_Other dwelling ,TENURE TYPEOwned Outright,TENURE TYPEOwned with a mortgage,TENURE TYPERented,HOUSEHOLD STRESS_Households where mortgage repayments are less than 30% of household income,HOUSEHOLD STRESS_Households with mortgage repayments greater than or equal to 30% of household income,HOUSEHOLD STRESS_Households where rent payments are less than 30% of household income,HOUSEHOLD STRESS_Households with rent payments greater than or equal to 30% of household income,SEIFA_Australia SEIFA decile ranking - Index of Relative Socio-Economic Disadvantage (IRSD),SEIFA_Australia SEIFA decile ranking - Index of Relative Socio-Economic Advantage and Disadvantage (IRSAD),SEIFA_Australia SEIFA decile ranking - Index of Education and Occupation (IEO),SEIFA_Australia SEIFA decile ranking - Index of Economic Resources (IER),SEIFA_State SEIFA decile ranking - Index of Relative Socio-Economic Disadvantage (IRSD),SEIFA_State SEIFA decile ranking - Index of Relative Socio-Economic Advantage and Disadvantage (IRSAD),SEIFA_State SEIFA decile ranking - Index of Education and Occupation (IEO),SEIFA_State SEIFA decile ranking - Index of Economic Resources (IER),"Homelessness rate per 10,000 persons",Average commuting distance from Place of Usual Residence,Median commuting distance from Place of Usual Residence,Average commuting distance to place of work,Median commuting distance to place of work
10050,Albury (C),2011,"10,526",55,16,119,"17,170",153,278,153,797,"18,867",151,670,"2,404",342,"22,434","5,583",830,"12,204","18,617",2.4,"4,253",745,"4,936","1,608",608,177,"12,318",2.9,"15,975","3,361","14,791",46.1,34.8,6.6,9.2,3.3,,,903,"1,568",64.6,19.4,7.7,1,11.6,21,1.9,,,,"14,406","1,054","3,051",91,29.2,34.4,32.7,92.4,7.6,89.1,10.9,,,,,,,,,30.9,,,,
10050,Albury (C),2012,"9,743",70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10050,Albury (C),2013,"9,628",70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10050,Albury (C),2014,"9,694",71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10050,Albury (C),2015,"9,867",80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10050,Albury (C),2016,"9,906",85,20,126,"18,093",118,218,134,760,"19,601",194,723,"2,208",181,"22,907","6,020",801,"12,674","19,495",2.3,"4,354",799,"5,235","1,582",676,167,"12,829",2.9,"16,384","3,867","15,318",45.7,34.7,6.3,9.7,3.6,79.2,18,"1,049","1,535",63,19.3,7.6,0.9,12.1,22,1.9,357,"15,294","2,745","15,634","3,323",377,90,30.2,32.3,33.7,95.1,4.9,87.5,12.5,5,5,6,3,6,5,6,3,24.4,9.8,5.8,11.8,6.8
10130,Armidale Regional (A),2011,"4,844",105,6,93,"8,358",92,116,129,754,"9,730",119,853,"1,329",162,"12,193","2,906",464,"6,828","10,200",2.4,"2,344",417,"2,828",918,306,106,"6,913",3,"8,817","2,012","8,149",43.5,39.4,6.2,7.7,3.2,,,914,"1,527",66.5,17.4,6.9,1,11.5,27,1.9,,,,"8,621",518,986,72,35.3,27.2,33.8,93.9,6.1,87.5,12.5,,,,,,,,,67.5,,,,
10130,Armidale Regional (A),2012,"4,426",130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10130,Armidale Regional (A),2013,"4,331",145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10130,Armidale Regional (A),2014,"4,300",150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10130,Armidale Regional (A),2015,"4,402",150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10130,Armidale Regional (A),2016,"4,229",150,12,49,"8,706",102,117,129,663,"9,928",129,887,"1,254",129,"12,327","2,983",482,"6,803","10,276",2.4,"2,256",416,"2,867",853,389,126,"6,912",2.9,"8,637","2,143","8,355",42.9,40.3,6,7.8,3.2,78.8,18.5,"1,103","1,564",66.5,16.9,6.3,0.6,11.3,27,1.9,239,"7,795","1,607","8,689",915,532,50,34.4,26,36.1,95.9,4.1,86,14,6,7,9,3,6,7,8,3,87.3,10.7,3.5,12.4,3.9
10250,Ballina (A),2011,"9,346",76,10,96,"11,654",104,251,127,677,"13,178",130,"1,130","1,895",257,"16,590","4,260",557,"10,777","15,597",2.4,"3,307",671,"4,915","1,313",619,125,"10,954",2.8,"14,575","2,787","11,716",49.8,27.9,8.1,10.9,3.2,,,"1,225","1,845",66.5,18.4,7.5,1,13.2,22.6,1.8,,,,"11,095","1,996","1,994",500,40.2,26.7,29.2,91.5,8.5,86.8,13.2,,,,,,,,,36,,,,
10250,Ballina (A),2012,"8,141",100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
